,id,Geography,stateAbbr,stateFullName,lat,lng,avgmaxtmp,avgmintmp,avgtmp,precipitation,population,per_dem,per_gop,Median income(2016),Mean income(2016)
0,1,"Abbeville city, Alabama",AL, Alabama,31.571835200000002,-85.2504893,92.81818182,41.45454545,68.18181818,4.0,2688.0,0.341212701319,0.632860293812,28148.0,48939.0
1,2,"Adamsville city, Alabama",AL, Alabama,33.600938899999996,-86.9561059,90.72727273,35.54545455,65.27272727,4.427272727,4522.0,0.393968425876,0.547506977132,44833.0,58449.0
2,3,"Addison town, Alabama",AL, Alabama,34.202324299999994,-87.1814012,88.45454545,32.54545455,61.63636364,0.063636364,758.0,0.430737658192,0.5556949036600001,34063.0,44503.0
3,4,"Akron town, Alabama",AL, Alabama,32.8765165,-87.7425105,92.72727273,35.27272727,65.45454545,3.554545455,356.0,0.237446034992,0.721086116792,17344.0,21465.0
4,5,"Alabaster city, Alabama",AL, Alabama,33.244281300000004,-86.8163773,90.45454545,38.0,64.63636364,4.154545455,30352.0,0.193672839506,0.7904541446209999,73325.0,81777.0
5,6,"Albertville city, Alabama",AL, Alabama,34.267593700000006,-86.20886690000002,90.0,32.63636364,62.09090909,2.354545455,21160.0,0.221203087977,0.731101429336,32042.0,48610.0
6,9,"Aliceville city, Alabama",AL, Alabama,33.12956810000001,-88.15141659999998,92.72727273,35.27272727,65.45454545,3.554545455,2486.0,0.211311411676,0.7385975322789999,19926.0,25488.0
7,10,"Allgood town, Alabama",AL, Alabama,33.9120429,-86.50943149999998,90.0,32.63636364,62.09090909,2.354545455,622.0,0.2330806765800001,0.7210360855560001,40817.0,46445.0
8,11,"Altoona town, Alabama",AL, Alabama,34.026208200000006,-86.3260923,90.0,32.63636364,62.09090909,2.354545455,933.0,0.238073331186,0.739108432626,28672.0,37837.0
9,12,"Andalusia city, Alabama",AL, Alabama,31.308503899999998,-86.48329129999998,92.18181818,41.45454545,70.09090909,3.345454545,9015.0,0.371672354949,0.616951080774,34012.0,51338.0
10,13,"Anderson town, Alabama",AL, Alabama,34.9284179,-87.266407,91.09090909,33.36363636,63.45454545,3.736363636,282.0,0.421295229316,0.562802489053,45500.0,54010.0
