Geography,stateAbbr,stateFullName
"Abanda CDP, Alabama",AL, Alabama
"Abbeville city, Alabama",AL, Alabama
"Adamsville city, Alabama",AL, Alabama
"Addison town, Alabama",AL, Alabama
"Akron town, Alabama",AL, Alabama
"Alabaster city, Alabama",AL, Alabama
"Albertville city, Alabama",AL, Alabama
"Alexander City city, Alabama",AL, Alabama
"Alexandria CDP, Alabama",AL, Alabama
"Aliceville city, Alabama",AL, Alabama
"Allgood town, Alabama",AL, Alabama
"Altoona town, Alabama",AL, Alabama
"Andalusia city, Alabama",AL, Alabama
"Anderson town, Alabama",AL, Alabama
"Anniston city, Alabama",AL, Alabama
"Arab city, Alabama",AL, Alabama
"Ardmore town, Alabama",AL, Alabama
"Argo town, Alabama",AL, Alabama
"Ariton town, Alabama",AL, Alabama
"Arley town, Alabama",AL, Alabama
"Ashford town, Alabama",AL, Alabama
"Ashland town, Alabama",AL, Alabama
"Ashville city, Alabama",AL, Alabama
"Athens city, Alabama",AL, Alabama
"Atmore city, Alabama",AL, Alabama
"Attalla city, Alabama",AL, Alabama
"Auburn city, Alabama",AL, Alabama
"Autaugaville town, Alabama",AL, Alabama
"Avon town, Alabama",AL, Alabama
"Axis CDP, Alabama",AL, Alabama
"Babbie town, Alabama",AL, Alabama
"Baileyton town, Alabama",AL, Alabama
"Bakerhill town, Alabama",AL, Alabama
"Ballplay CDP, Alabama",AL, Alabama
"Banks town, Alabama",AL, Alabama
"Bay Minette city, Alabama",AL, Alabama
"Bayou La Batre city, Alabama",AL, Alabama
"Bear Creek town, Alabama",AL, Alabama
"Beatrice town, Alabama",AL, Alabama
"Beaverton town, Alabama",AL, Alabama
"Belgreen CDP, Alabama",AL, Alabama
"Belk town, Alabama",AL, Alabama
"Bellamy CDP, Alabama",AL, Alabama
"Benton town, Alabama",AL, Alabama
"Berry town, Alabama",AL, Alabama
"Bessemer city, Alabama",AL, Alabama
"Billingsley town, Alabama",AL, Alabama
"Birmingham city, Alabama",AL, Alabama
"Black town, Alabama",AL, Alabama
"Blountsville town, Alabama",AL, Alabama
"Blue Ridge CDP, Alabama",AL, Alabama
"Blue Springs town, Alabama",AL, Alabama
"Boaz city, Alabama",AL, Alabama
"Boligee town, Alabama",AL, Alabama
"Bon Air town, Alabama",AL, Alabama
"Bon Secour CDP, Alabama",AL, Alabama
"Boykin CDP, Alabama",AL, Alabama
"Brantley town, Alabama",AL, Alabama
"Brantleyville CDP, Alabama",AL, Alabama
"Brent city, Alabama",AL, Alabama
"Brewton city, Alabama",AL, Alabama
"Bridgeport city, Alabama",AL, Alabama
"Brighton city, Alabama",AL, Alabama
"Brilliant town, Alabama",AL, Alabama
"Bristow Cove CDP, Alabama",AL, Alabama
"Brookside town, Alabama",AL, Alabama
"Brookwood town, Alabama",AL, Alabama
"Brundidge city, Alabama",AL, Alabama
"Bucks CDP, Alabama",AL, Alabama
"Butler town, Alabama",AL, Alabama
"Calera city, Alabama",AL, Alabama
"Calvert CDP, Alabama",AL, Alabama
"Camden city, Alabama",AL, Alabama
"Camp Hill town, Alabama",AL, Alabama
"Carbon Hill city, Alabama",AL, Alabama
"Cardiff town, Alabama",AL, Alabama
"Carlton CDP, Alabama",AL, Alabama
"Carolina town, Alabama",AL, Alabama
"Carrollton town, Alabama",AL, Alabama
"Castleberry town, Alabama",AL, Alabama
"Catherine CDP, Alabama",AL, Alabama
"Cedar Bluff town, Alabama",AL, Alabama
"Center Point city, Alabama",AL, Alabama
"Centre city, Alabama",AL, Alabama
"Centreville city, Alabama",AL, Alabama
"Chatom town, Alabama",AL, Alabama
"Chelsea city, Alabama",AL, Alabama
"Cherokee town, Alabama",AL, Alabama
"Chickasaw city, Alabama",AL, Alabama
"Childersburg city, Alabama",AL, Alabama
"Choccolocco CDP, Alabama",AL, Alabama
"Chunchula CDP, Alabama",AL, Alabama
"Citronelle city, Alabama",AL, Alabama
"Clanton city, Alabama",AL, Alabama
"Clay city, Alabama",AL, Alabama
"Clayhatchee town, Alabama",AL, Alabama
"Clayton town, Alabama",AL, Alabama
"Cleveland town, Alabama",AL, Alabama
"Clio city, Alabama",AL, Alabama
"Coaling town, Alabama",AL, Alabama
"Coffee Springs town, Alabama",AL, Alabama
"Coffeeville town, Alabama",AL, Alabama
"Coker town, Alabama",AL, Alabama
"Collinsville town, Alabama",AL, Alabama
"Colony town, Alabama",AL, Alabama
"Columbia town, Alabama",AL, Alabama
"Columbiana city, Alabama",AL, Alabama
"Concord CDP, Alabama",AL, Alabama
"Coosada town, Alabama",AL, Alabama
"Cordova city, Alabama",AL, Alabama
"Cottondale CDP, Alabama",AL, Alabama
"Cottonwood town, Alabama",AL, Alabama
"County Line town, Alabama",AL, Alabama
"Courtland town, Alabama",AL, Alabama
"Cowarts town, Alabama",AL, Alabama
"Creola city, Alabama",AL, Alabama
"Crossville town, Alabama",AL, Alabama
"Cuba town, Alabama",AL, Alabama
"Cullman city, Alabama",AL, Alabama
"Cullomburg CDP, Alabama",AL, Alabama
"Cusseta town, Alabama",AL, Alabama
"Dadeville city, Alabama",AL, Alabama
"Daleville city, Alabama",AL, Alabama
"Daphne city, Alabama",AL, Alabama
"Dauphin Island town, Alabama",AL, Alabama
"Daviston town, Alabama",AL, Alabama
"Dayton town, Alabama",AL, Alabama
"Deatsville town, Alabama",AL, Alabama
"Decatur city, Alabama",AL, Alabama
"Deer Park CDP, Alabama",AL, Alabama
"Delta CDP, Alabama",AL, Alabama
"Demopolis city, Alabama",AL, Alabama
"Detroit town, Alabama",AL, Alabama
"Dodge City town, Alabama",AL, Alabama
"Dora city, Alabama",AL, Alabama
"Dothan city, Alabama",AL, Alabama
"Double Springs town, Alabama",AL, Alabama
"Douglas town, Alabama",AL, Alabama
"Dozier town, Alabama",AL, Alabama
"Dunnavant CDP, Alabama",AL, Alabama
"Dutton town, Alabama",AL, Alabama
"East Brewton city, Alabama",AL, Alabama
"East Point CDP, Alabama",AL, Alabama
"Eclectic town, Alabama",AL, Alabama
"Edgewater CDP, Alabama",AL, Alabama
"Edwardsville town, Alabama",AL, Alabama
"Egypt CDP, Alabama",AL, Alabama
"Elba city, Alabama",AL, Alabama
"Elberta town, Alabama",AL, Alabama
"Eldridge town, Alabama",AL, Alabama
"Elkmont town, Alabama",AL, Alabama
"Elmore town, Alabama",AL, Alabama
"Emelle town, Alabama",AL, Alabama
"Emerald Mountain CDP, Alabama",AL, Alabama
"Enterprise city, Alabama",AL, Alabama
"Epes town, Alabama",AL, Alabama
"Ethelsville town, Alabama",AL, Alabama
"Eufaula city, Alabama",AL, Alabama
"Eunola CDP, Alabama",AL, Alabama
"Eutaw town, Alabama",AL, Alabama
"Eva town, Alabama",AL, Alabama
"Evergreen city, Alabama",AL, Alabama
"Excel town, Alabama",AL, Alabama
"Fairfield city, Alabama",AL, Alabama
"Fairford CDP, Alabama",AL, Alabama
"Fairhope city, Alabama",AL, Alabama
"Fairview town, Alabama",AL, Alabama
"Falkville town, Alabama",AL, Alabama
"Faunsdale town, Alabama",AL, Alabama
"Fayette city, Alabama",AL, Alabama
"Fayetteville CDP, Alabama",AL, Alabama
"Fitzpatrick CDP, Alabama",AL, Alabama
"Five Points town, Alabama",AL, Alabama
"Flomaton town, Alabama",AL, Alabama
"Florala town, Alabama",AL, Alabama
"Florence city, Alabama",AL, Alabama
"Foley city, Alabama",AL, Alabama
"Forestdale CDP, Alabama",AL, Alabama
"Forkland town, Alabama",AL, Alabama
"Fort Deposit town, Alabama",AL, Alabama
"Fort Payne city, Alabama",AL, Alabama
"Franklin town, Alabama",AL, Alabama
"Fredonia CDP, Alabama",AL, Alabama
"Frisco City town, Alabama",AL, Alabama
"Fruitdale CDP, Alabama",AL, Alabama
"Fruithurst town, Alabama",AL, Alabama
"Fulton town, Alabama",AL, Alabama
"Fultondale city, Alabama",AL, Alabama
"Fyffe town, Alabama",AL, Alabama
"Gadsden city, Alabama",AL, Alabama
"Gainesville town, Alabama",AL, Alabama
"Gallant CDP, Alabama",AL, Alabama
"Gantt town, Alabama",AL, Alabama
"Garden City town, Alabama",AL, Alabama
"Gardendale city, Alabama",AL, Alabama
"Gaylesville town, Alabama",AL, Alabama
"Geiger town, Alabama",AL, Alabama
"Geneva city, Alabama",AL, Alabama
"Georgiana town, Alabama",AL, Alabama
"Geraldine town, Alabama",AL, Alabama
"Glen Allen town, Alabama",AL, Alabama
"Glencoe city, Alabama",AL, Alabama
"Glenwood town, Alabama",AL, Alabama
"Goldville town, Alabama",AL, Alabama
"Good Hope town, Alabama",AL, Alabama
"Goodwater town, Alabama",AL, Alabama
"Gordo town, Alabama",AL, Alabama
"Gordon town, Alabama",AL, Alabama
"Gordonville town, Alabama",AL, Alabama
"Goshen town, Alabama",AL, Alabama
"Graham CDP, Alabama",AL, Alabama
"Grand Bay CDP, Alabama",AL, Alabama
"Grant town, Alabama",AL, Alabama
"Graysville city, Alabama",AL, Alabama
"Greensboro city, Alabama",AL, Alabama
"Greenville city, Alabama",AL, Alabama
"Grimes town, Alabama",AL, Alabama
"Grove Hill town, Alabama",AL, Alabama
"Guin city, Alabama",AL, Alabama
"Gulfcrest CDP, Alabama",AL, Alabama
"Gulf Shores city, Alabama",AL, Alabama
"Guntersville city, Alabama",AL, Alabama
"Gurley town, Alabama",AL, Alabama
"Gu-Win town, Alabama",AL, Alabama
"Hackleburg town, Alabama",AL, Alabama
"Hackneyville CDP, Alabama",AL, Alabama
"Haleburg town, Alabama",AL, Alabama
"Haleyville city, Alabama",AL, Alabama
"Hamilton city, Alabama",AL, Alabama
"Hammondville town, Alabama",AL, Alabama
"Hanceville city, Alabama",AL, Alabama
"Harpersville town, Alabama",AL, Alabama
"Hartford city, Alabama",AL, Alabama
"Hartselle city, Alabama",AL, Alabama
"Harvest CDP, Alabama",AL, Alabama
"Hatton CDP, Alabama",AL, Alabama
"Hayden town, Alabama",AL, Alabama
"Hayneville town, Alabama",AL, Alabama
"Hazel Green CDP, Alabama",AL, Alabama
"Headland city, Alabama",AL, Alabama
"Heath town, Alabama",AL, Alabama
"Heflin city, Alabama",AL, Alabama
"Helena city, Alabama",AL, Alabama
"Henagar city, Alabama",AL, Alabama
"Highland Lake town, Alabama",AL, Alabama
"Hillsboro town, Alabama",AL, Alabama
"Hissop CDP, Alabama",AL, Alabama
"Hobson CDP, Alabama",AL, Alabama
"Hobson City town, Alabama",AL, Alabama
"Hodges town, Alabama",AL, Alabama
"Hokes Bluff city, Alabama",AL, Alabama
"Hollins CDP, Alabama",AL, Alabama
"Hollis Crossroads CDP, Alabama",AL, Alabama
"Holly Pond town, Alabama",AL, Alabama
"Hollywood town, Alabama",AL, Alabama
"Holt CDP, Alabama",AL, Alabama
"Holtville CDP, Alabama",AL, Alabama
"Homewood city, Alabama",AL, Alabama
"Hoover city, Alabama",AL, Alabama
"Horn Hill town, Alabama",AL, Alabama
"Huguley CDP, Alabama",AL, Alabama
"Huntsville city, Alabama",AL, Alabama
"Hurtsboro town, Alabama",AL, Alabama
"Hytop town, Alabama",AL, Alabama
"Ider town, Alabama",AL, Alabama
"Indian Springs Village city, Alabama",AL, Alabama
"Irondale city, Alabama",AL, Alabama
"Ivalee CDP, Alabama",AL, Alabama
"Jackson city, Alabama",AL, Alabama
"Jacksons' Gap town, Alabama",AL, Alabama
"Jacksonville city, Alabama",AL, Alabama
"Jasper city, Alabama",AL, Alabama
"Jemison city, Alabama",AL, Alabama
"Joppa CDP, Alabama",AL, Alabama
"Kansas town, Alabama",AL, Alabama
"Kellyton town, Alabama",AL, Alabama
"Kennedy town, Alabama",AL, Alabama
"Killen town, Alabama",AL, Alabama
"Kimberly city, Alabama",AL, Alabama
"Kinsey town, Alabama",AL, Alabama
"Kinston town, Alabama",AL, Alabama
"Ladonia CDP, Alabama",AL, Alabama
"Lakeview town, Alabama",AL, Alabama
"Lake View town, Alabama",AL, Alabama
"Lanett city, Alabama",AL, Alabama
"Langston town, Alabama",AL, Alabama
"Leeds city, Alabama",AL, Alabama
"Leesburg town, Alabama",AL, Alabama
"Leighton town, Alabama",AL, Alabama
"Leroy CDP, Alabama",AL, Alabama
"Lester town, Alabama",AL, Alabama
"Level Plains town, Alabama",AL, Alabama
"Lexington town, Alabama",AL, Alabama
"Libertyville town, Alabama",AL, Alabama
"Lillian CDP, Alabama",AL, Alabama
"Lincoln city, Alabama",AL, Alabama
"Linden city, Alabama",AL, Alabama
"Lineville city, Alabama",AL, Alabama
"Lipscomb city, Alabama",AL, Alabama
"Lisman town, Alabama",AL, Alabama
"Littleville town, Alabama",AL, Alabama
"Livingston city, Alabama",AL, Alabama
"Loachapoka town, Alabama",AL, Alabama
"Lockhart town, Alabama",AL, Alabama
"Locust Fork town, Alabama",AL, Alabama
"Louisville town, Alabama",AL, Alabama
"Lowndesboro town, Alabama",AL, Alabama
"Loxley town, Alabama",AL, Alabama
"Luverne city, Alabama",AL, Alabama
"Lynn town, Alabama",AL, Alabama
"McDonald Chapel CDP, Alabama",AL, Alabama
"Macedonia CDP, Alabama",AL, Alabama
"McIntosh town, Alabama",AL, Alabama
"McKenzie town, Alabama",AL, Alabama
"Madison city, Alabama",AL, Alabama
"Madrid town, Alabama",AL, Alabama
"Magnolia Springs town, Alabama",AL, Alabama
"Malcolm CDP, Alabama",AL, Alabama
"Malvern town, Alabama",AL, Alabama
"Maplesville town, Alabama",AL, Alabama
"Marbury CDP, Alabama",AL, Alabama
"Margaret town, Alabama",AL, Alabama
"Marion city, Alabama",AL, Alabama
"Megargel CDP, Alabama",AL, Alabama
"Memphis town, Alabama",AL, Alabama
"Mentone town, Alabama",AL, Alabama
"Meridianville CDP, Alabama",AL, Alabama
"Midfield city, Alabama",AL, Alabama
"Midland City town, Alabama",AL, Alabama
"Midway town, Alabama",AL, Alabama
"Millbrook city, Alabama",AL, Alabama
"Millerville CDP, Alabama",AL, Alabama
"Millport town, Alabama",AL, Alabama
"Millry town, Alabama",AL, Alabama
"Minor CDP, Alabama",AL, Alabama
"Mobile city, Alabama",AL, Alabama
"Monroeville city, Alabama",AL, Alabama
"Montevallo city, Alabama",AL, Alabama
"Montgomery city, Alabama",AL, Alabama
"Moody city, Alabama",AL, Alabama
"Moores Mill CDP, Alabama",AL, Alabama
"Mooresville town, Alabama",AL, Alabama
"Morris town, Alabama",AL, Alabama
"Morrison Crossroads CDP, Alabama",AL, Alabama
"Mosses town, Alabama",AL, Alabama
"Moulton city, Alabama",AL, Alabama
"Moundville town, Alabama",AL, Alabama
"Mountain Brook city, Alabama",AL, Alabama
"Mount Vernon town, Alabama",AL, Alabama
"Movico CDP, Alabama",AL, Alabama
"Mulga town, Alabama",AL, Alabama
"Munford town, Alabama",AL, Alabama
"Muscle Shoals city, Alabama",AL, Alabama
"Myrtlewood town, Alabama",AL, Alabama
"Nanafalia CDP, Alabama",AL, Alabama
"Nances Creek CDP, Alabama",AL, Alabama
"Napier Field town, Alabama",AL, Alabama
"Natural Bridge town, Alabama",AL, Alabama
"Nauvoo town, Alabama",AL, Alabama
"Nectar town, Alabama",AL, Alabama
"Needham town, Alabama",AL, Alabama
"Newbern town, Alabama",AL, Alabama
"New Brockton town, Alabama",AL, Alabama
"New Hope city, Alabama",AL, Alabama
"New Market CDP, Alabama",AL, Alabama
"New Site town, Alabama",AL, Alabama
"Newton town, Alabama",AL, Alabama
"Newville town, Alabama",AL, Alabama
"North Courtland town, Alabama",AL, Alabama
"North Johns town, Alabama",AL, Alabama
"Northport city, Alabama",AL, Alabama
"Notasulga town, Alabama",AL, Alabama
"Oak Grove town, Alabama",AL, Alabama
"Oak Hill town, Alabama",AL, Alabama
"Oakman town, Alabama",AL, Alabama
"Odenville town, Alabama",AL, Alabama
"Ohatchee town, Alabama",AL, Alabama
"Oneonta city, Alabama",AL, Alabama
"Onycha town, Alabama",AL, Alabama
"Opelika city, Alabama",AL, Alabama
"Opp city, Alabama",AL, Alabama
"Orange Beach city, Alabama",AL, Alabama
"Orrville town, Alabama",AL, Alabama
"Our Town CDP, Alabama",AL, Alabama
"Owens Cross Roads town, Alabama",AL, Alabama
"Oxford city, Alabama",AL, Alabama
"Ozark city, Alabama",AL, Alabama
"Paint Rock town, Alabama",AL, Alabama
"Panola CDP, Alabama",AL, Alabama
"Parrish town, Alabama",AL, Alabama
"Pelham city, Alabama",AL, Alabama
"Pell City city, Alabama",AL, Alabama
"Pennington town, Alabama",AL, Alabama
"Penton CDP, Alabama",AL, Alabama
"Perdido CDP, Alabama",AL, Alabama
"Perdido Beach town, Alabama",AL, Alabama
"Peterman CDP, Alabama",AL, Alabama
"Petrey town, Alabama",AL, Alabama
"Phenix City city, Alabama",AL, Alabama
"Phil Campbell town, Alabama",AL, Alabama
"Pickensville town, Alabama",AL, Alabama
"Piedmont city, Alabama",AL, Alabama
"Pike Road town, Alabama",AL, Alabama
"Pinckard town, Alabama",AL, Alabama
"Pine Apple town, Alabama",AL, Alabama
